,city,cloudiness,humidity,lat,lon,temp_max,wind_speed
215,Sawakin,0,32,19.1,37.33,101.1,7.09
216,Darhan,36,51,49.49,105.92,74.73,4.07
217,Miandrivazo,20,52,-19.53,45.46,81.57,2.51
218,Ocampo,8,85,13.56,123.37,84.63,12.24
219,Alice Springs,0,36,-23.7,133.88,62.6,10.29
220,Adrar,0,11,27.87,-0.29,84.2,5.82
221,Severo-Kurilsk,8,96,50.68,156.12,40.62,3.62
222,Vetapalem,36,73,15.78,80.32,92.73,4.63
223,Otane,88,78,-39.89,176.62,47.55,4.74
224,Kumano,20,53,34.34,132.59,75.2,10.29
225,Alta Floresta,0,82,-9.87,-56.08,70.32,2.95
226,Abu Samrah,0,44,35.3,37.18,89.04,6.64
227,Roseburg,1,71,43.22,-123.34,57.2,4.7
228,Herat,0,27,34.35,62.22,89.6,9.17
229,Kitui,44,80,-1.37,38.02,71.76,8.77
230,Mirai,92,98,-21.2,-42.61,62.76,3.4
231,Concepcion del Oro,80,83,24.63,-101.42,59.07,3.06
232,Ribeira Grande,40,88,38.52,-28.7,68.0,2.24
233,Kavieng,44,100,-2.57,150.8,81.03,3.74
234,North Bend,75,87,43.41,-124.22,55.4,8.05
235,Provideniya,0,100,64.42,-173.23,36.03,16.15
236,Abadan,0,15,30.36,48.26,105.8,16.11
237,Chipoka,0,99,-13.99,34.52,75.72,2.51
238,Cabo San Lucas,0,100,22.89,-109.91,73.92,8.43
239,Benavente,20,67,38.98,-8.82,62.6,10.29
240,Poum,75,68,41.28,20.71,64.4,5.82
241,Luanda,88,92,-8.83,13.24,73.47,3.18
242,Chipping Sodbury,75,87,51.54,-2.39,59.0,11.41
243,Constitucion,0,80,23.99,-104.67,54.21,7.2
244,Broken Hill,12,58,-31.97,141.45,49.89,13.8
245,Sabha,0,21,27.03,14.43,93.36,10.45
246,Petropavlovka,80,93,50.61,105.32,59.52,5.64
247,Anadyr,40,66,64.73,177.51,53.6,11.18
248,Haputale,44,77,6.77,80.96,80.67,11.56
249,Semirom,8,20,31.41,51.57,80.94,3.51
250,Kysyl-Syr,0,19,63.9,122.77,73.65,10.56
251,Bubaque,20,88,11.28,-15.83,77.0,2.24
252,Bridlington,92,82,54.08,-0.19,55.4,5.82
253,Horta,0,60,41.43,2.16,73.4,3.36
254,Te Anau,0,77,-45.41,167.72,29.55,2.39
255,Klaksvik,36,100,62.23,-6.59,48.2,8.05
256,Bereda,20,77,43.27,-7.54,60.8,2.24
257,Opuwo,0,18,-18.06,13.84,74.82,4.18
258,Zhangye,56,56,38.94,100.46,74.64,4.18
259,Kavaratti,92,100,10.57,72.64,78.15,14.7
260,Kuusankoski,0,37,60.91,26.62,69.8,6.93
261,Cherskiy,0,37,68.75,161.3,58.71,4.74
262,Zilupe,68,73,56.39,28.12,60.24,11.12
263,Bilibino,0,20,68.06,166.44,69.51,3.4
264,Tezu,92,100,27.93,96.16,66.54,1.61
265,Oussouye,20,88,12.49,-16.54,78.8,2.24
266,Veraval,75,67,49.65,0.71,60.8,10.11
267,Binga,0,59,-17.62,27.34,75.09,3.74
268,Vao,32,53,59.1,26.19,72.66,3.18
269,Cascioarele,20,57,44.13,26.47,77.0,3.36
270,Auch,90,77,43.65,0.59,62.6,6.93
271,Honnali,64,66,14.24,75.65,83.19,17.6
272,Mamit,0,53,23.92,92.49,93.81,3.06
273,Pochutla,92,100,15.74,-96.47,77.97,3.51
274,Saskylakh,0,59,71.97,114.09,63.93,10.11
275,Flinders,12,57,-34.58,150.85,50.0,21.92
276,Qingdao,75,73,36.09,120.35,73.4,13.42
277,Le Vauclin,75,88,14.55,-60.84,77.0,2.24
278,Seymchan,32,34,62.93,152.39,60.15,4.52
279,Bell Ville,0,89,-32.63,-62.69,31.17,7.43
280,Sabang,8,85,13.72,123.58,84.63,12.24
281,Brae,32,66,60.4,-1.35,55.4,13.87
282,Novaya Zaimka,80,45,56.49,66.92,60.06,11.56
283,Casablanca,75,93,33.6,-7.62,66.2,5.82
284,Reshetylivka,76,84,49.56,34.08,74.1,8.99
285,Los Llanos de Aridane,40,82,28.66,-17.92,68.0,13.87
286,Gat,24,78,14.69,-16.54,77.34,6.76
287,Elban,76,58,50.1,136.51,66.54,6.53
288,Ginir,20,92,7.14,40.71,70.32,2.95
289,Sangar,0,28,63.92,127.47,67.35,10.56
290,Arlit,24,24,18.74,7.39,100.02,12.12
291,Fortuna,0,64,38.18,-1.13,75.2,2.24
292,Doha,0,20,25.29,51.53,105.8,19.46
293,Hong Gai,56,81,20.96,107.09,85.17,8.77
294,Vardo,1,100,39.62,-77.74,64.4,2.06
295,Cockburn Town,0,100,21.46,-71.14,79.86,15.14
296,Joensuu,0,42,62.6,29.76,68.0,6.93
297,Nyimba,0,32,-14.56,30.81,82.38,2.06
298,Pekan,75,63,3.49,103.39,91.4,4.7
299,Luderitz,0,87,-26.65,15.16,59.34,6.2
300,Srandakan,76,92,-7.94,110.25,78.15,3.51
301,Varkkallai,75,94,8.73,76.71,77.0,3.36
302,Hovd,0,58,63.83,10.7,57.2,4.7
303,Iqaluit,20,80,63.75,-68.52,33.8,2.24
304,Kiunga,56,84,-6.12,141.3,78.24,2.06
305,Dimitrovgrad,0,34,54.22,49.6,64.4,13.42
306,Galesong,40,59,-5.32,119.37,89.6,6.93
307,Toronto,1,72,43.65,-79.39,60.8,2.24
308,Fort Nelson,20,81,58.81,-122.69,51.8,5.82
309,Barao de Cocais,0,82,-19.95,-43.49,59.0,6.93
310,Damara,20,83,4.96,18.7,75.2,3.36
311,Sitka,12,43,37.17,-99.65,83.19,19.51
312,Pinhao,48,96,-25.7,-51.66,43.77,2.06
313,Jeremie,24,100,18.65,-74.12,76.71,5.08
314,Coihaique,90,81,-45.58,-72.07,48.2,9.17
315,Mayor Pablo Lagerenza,88,64,-19.93,-60.77,50.79,10.22
316,Esperance,20,94,10.24,-61.45,77.0,5.82
317,Vuktyl,64,74,63.86,57.31,55.65,8.66
318,Lagoa,0,60,37.14,-8.45,68.0,8.05
319,Taicheng,24,61,22.25,112.8,85.26,8.77
320,Karpogory,88,50,64.0,44.44,62.22,3.51
321,Marzuq,88,14,14.4,46.47,94.71,5.75
322,Pangnirtung,12,97,66.15,-65.72,28.47,2.62
323,San Borja,64,63,-14.86,-66.75,59.97,4.41
324,Chicama,90,93,-7.84,-79.15,62.6,6.93
325,Sioux Lookout,40,100,50.1,-91.92,66.2,4.7
326,Kenai,90,100,60.55,-151.26,48.2,6.93
327,Georgetown,75,94,6.8,-58.16,75.2,4.7
328,Hohhot,40,39,40.81,111.65,78.8,13.42
329,Baykit,0,54,61.68,96.39,70.5,5.75
